,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 38,Unnamed: 39,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Unnamed: 27,Unnamed: 28,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Unnamed: 33,Unnamed: 34,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Unnamed: 26,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Unnamed: 32
75,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
76,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,3,14,1,50.0,1,50.0,13,1,4,5,14,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
77,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
78,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,3,14,1,50.0,1,50.0,13,1,4,5,14,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
79,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,6,6,100.0,65,0,3,3,100.0,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
80,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,3,14,1,50.0,1,50.0,13,1,4,5,14,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
81,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
82,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,3,14,1,50.0,1,50.0,13,1,4,5,14,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
83,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
84,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,3,14,1,50.0,1,50.0,13,1,4,5,14,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
85,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
86,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,3,14,1,50.0,1,50.0,13,1,4,5,14,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
87,26,Cameron Archer,ENG,MF,Aston Villa,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,05e8ca6d,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,7,0,,0,,5,0,1,0,7,https://fbref.com/en/players/05e8ca6d/Cameron-Archer
88,27,Alphonse Areola,FRA,GK,West Ham,30,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2f965a72/Alphonse-Areola,2f965a72,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/2f965a72/Alphonse-Areola,2f965a72,56,113,49.6,2100,1678,7,8,87.5,20,20,100.0,29,83,34.9,0.0,0.0,0,1,0,0,https://fbref.com/en/players/2f965a72/Alphonse-Areola,2f965a72,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/2f965a72/Alphonse-Areola,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,128,114,0,128,0,,0,,46,0,0,0,22,https://fbref.com/en/players/2f965a72/Alphonse-Areola
89,28,Serge Aurier,CIV,"DF,MF",Nott'ham Forest,30,1992,4,4,341,3.8,0,2,2,0,0,0,2,0,0.0,0.0,0.4,0.4,5,18,14,0.0,0.53,0.53,0.0,0.53,0.0,0.11,0.12,0.0,0.12,Matches,https://fbref.com/en/players/5c2b4f07/Serge-Aurier,5c2b4f07,1,0,0.0,0.26,0.0,0.0,,11.1,0,0.01,0.0,0.0,https://fbref.com/en/players/5c2b4f07/Serge-Aurier,5c2b4f07,105,151,69.5,1548,701,56,73,76.7,42,51,82.4,3,15,20.0,0.3,1.6,3,11,3,2,https://fbref.com/en/players/5c2b4f07/Serge-Aurier,5c2b4f07,6,1.58,6,0,0,0,0,2,0.53,2,0,0,0,0,0,https://fbref.com/en/players/5c2b4f07/Serge-Aurier,7,5,4,3,0,2,40.0,3,3,3,2,9,15,0,198,15,6,198,1,11.1,8,88.9,88,1,5,2,126,https://fbref.com/en/players/5c2b4f07/Serge-Aurier
90,29,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26,1997,4,3,247,2.7,3,1,4,3,0,0,0,0,1.8,1.8,0.5,2.3,3,6,11,1.09,0.36,1.46,1.09,1.46,0.65,0.18,0.83,0.65,0.83,Matches,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi,e5478b87,7,3,42.9,2.55,1.09,0.43,1.0,8.4,0,0.25,1.2,1.2,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi,e5478b87,33,54,61.1,450,117,18,26,69.2,14,20,70.0,1,1,100.0,0.3,0.5,4,2,1,0,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi,e5478b87,8,2.93,6,0,1,1,0,3,1.1,2,0,1,0,0,0,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi,1,1,0,1,0,0,0.0,1,2,2,0,1,2,0,87,3,13,87,4,80.0,1,20.0,50,1,14,6,65,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi
91,30,Jordan Ayew,GHA,FW,Crystal Palace,31,1991,4,4,360,4.0,0,2,2,0,0,0,1,0,0.9,0.9,1.0,1.9,13,8,39,0.0,0.5,0.5,0.0,0.5,0.23,0.26,0.48,0.23,0.48,Matches,https://fbref.com/en/players/da052c14/Jordan-Ayew,da052c14,12,3,25.0,3.0,0.75,0.0,0.0,13.5,0,0.08,-0.9,-0.9,https://fbref.com/en/players/da052c14/Jordan-Ayew,da052c14,104,141,73.8,1301,218,72,82,87.8,23,39,59.0,3,9,33.3,0.6,1.0,7,3,3,2,https://fbref.com/en/players/da052c14/Jordan-Ayew,da052c14,16,4.0,8,0,0,4,1,2,0.5,2,0,0,0,0,0,https://fbref.com/en/players/da052c14/Jordan-Ayew,11,3,5,6,0,1,25.0,3,4,4,2,13,1,0,206,2,23,206,6,30.0,9,45.0,142,4,9,11,147,https://fbref.com/en/players/da052c14/Jordan-Ayew
92,31,Leon Bailey,JAM,"FW,MF",Aston Villa,26,1997,3,2,153,1.7,1,1,2,1,0,0,0,0,0.3,0.3,0.6,1.0,9,3,12,0.59,0.59,1.18,0.59,1.18,0.19,0.38,0.57,0.19,0.57,Matches,https://fbref.com/en/players/3a233281/Leon-Bailey,3a233281,2,1,50.0,1.18,0.59,0.5,1.0,10.8,0,0.16,0.7,0.7,https://fbref.com/en/players/3a233281/Leon-Bailey,3a233281,37,60,61.7,672,178,20,28,71.4,10,17,58.8,6,8,75.0,0.8,0.4,2,2,3,1,https://fbref.com/en/players/3a233281/Leon-Bailey,3a233281,7,4.12,6,0,0,0,0,2,1.18,1,0,0,1,0,0,https://fbref.com/en/players/3a233281/Leon-Bailey,0,0,0,0,0,0,,0,1,1,1,1,2,0,74,2,6,74,4,66.7,1,16.7,50,1,2,4,56,https://fbref.com/en/players/3a233281/Leon-Bailey
93,32,George Baldock,GRE,"DF,MF",Sheffield Utd,30,1993,3,3,250,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,https://fbref.com/en/players/394854c4/George-Baldock,394854c4,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/394854c4/George-Baldock,394854c4,67,99,67.7,953,410,42,53,79.2,19,25,76.0,4,12,33.3,0.1,-0.2,2,4,3,1,https://fbref.com/en/players/394854c4/George-Baldock,394854c4,6,2.16,3,2,1,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/394854c4/George-Baldock,5,3,2,2,1,1,33.3,2,4,2,2,7,8,0,133,13,3,133,5,62.5,3,37.5,64,1,4,7,67,https://fbref.com/en/players/394854c4/George-Baldock
94,33,Shandon Baptiste,GRN,MF,Brentford,25,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste,2886c9b5,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste,2886c9b5,2,3,66.7,65,42,0,0,,1,1,100.0,1,2,50.0,0.0,0.0,0,1,0,0,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste,2886c9b5,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste,0,0,0,0,0,0,,0,1,1,0,0,1,0,5,2,0,5,0,,0,,3,0,0,0,2,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste
95,34,Ross Barkley,ENG,MF,Luton Town,29,1993,2,2,146,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.6,1,8,1,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.36,0.14,0.36,Matches,https://fbref.com/en/players/3a24769f/Ross-Barkley,3a24769f,4,0,0.0,2.47,0.0,0.0,,18.4,1,0.06,-0.2,-0.2,https://fbref.com/en/players/3a24769f/Ross-Barkley,3a24769f,47,58,81.0,934,220,15,17,88.2,23,26,88.5,7,10,70.0,0.3,-0.3,4,6,0,0,https://fbref.com/en/players/3a24769f/Ross-Barkley,3a24769f,6,3.7,1,4,1,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/3a24769f/Ross-Barkley,0,0,0,0,0,0,0.0,1,1,1,2,2,2,0,71,2,3,71,3,100.0,0,0.0,37,0,3,3,44,https://fbref.com/en/players/3a24769f/Ross-Barkley
96,35,Harvey Barnes,ENG,FW,Newcastle Utd,25,1997,4,0,94,1.0,1,1,2,1,0,0,1,0,0.7,0.7,0.9,1.5,7,3,8,0.96,0.96,1.91,0.96,1.91,0.63,0.83,1.46,0.63,1.46,Matches,https://fbref.com/en/players/3ea50f67/Harvey-Barnes,3ea50f67,4,2,50.0,3.83,1.91,0.25,0.5,18.2,0,0.17,0.3,0.3,https://fbref.com/en/players/3ea50f67/Harvey-Barnes,3ea50f67,29,37,78.4,334,66,22,24,91.7,6,9,66.7,0,0,,0.6,0.1,2,0,3,0,https://fbref.com/en/players/3ea50f67/Harvey-Barnes,3ea50f67,4,3.83,4,0,0,0,0,1,0.96,1,0,0,0,0,0,https://fbref.com/en/players/3ea50f67/Harvey-Barnes,0,0,0,0,0,0,,0,0,0,0,0,0,0,46,0,6,46,0,0.0,1,50.0,37,6,2,1,39,https://fbref.com/en/players/3ea50f67/Harvey-Barnes
97,36,Chris Basham,ENG,"MF,DF",Sheffield Utd,35,1988,4,1,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/1aa84968/Chris-Basham,1aa84968,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/1aa84968/Chris-Basham,1aa84968,37,55,67.3,475,113,22,29,75.9,10,12,83.3,1,5,20.0,0.0,0.0,0,4,0,0,https://fbref.com/en/players/1aa84968/Chris-Basham,1aa84968,1,0.62,0,0,0,1,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/1aa84968/Chris-Basham,4,1,2,2,0,2,50.0,2,5,2,3,7,6,0,77,8,3,77,1,50.0,1,50.0,32,0,1,2,32,https://fbref.com/en/players/1aa84968/Chris-Basham
98,37,Calvin Bassey,NGA,DF,Fulham,23,1999,2,1,106,1.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/a36524bf/Calvin-Bassey,a36524bf,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/a36524bf/Calvin-Bassey,a36524bf,39,55,70.9,699,252,14,15,93.3,22,27,81.5,3,11,27.3,0.0,0.0,0,2,0,0,https://fbref.com/en/players/a36524bf/Calvin-Bassey,a36524bf,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/a36524bf/Calvin-Bassey,1,1,0,1,0,0,,0,1,1,2,3,6,0,66,10,0,66,0,0.0,1,100.0,38,0,0,1,41,https://fbref.com/en/players/a36524bf/Calvin-Bassey
99,38,Amari'i Bell,JAM,DF,Luton Town,29,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/399e9474/Amarii-Bell,399e9474,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/399e9474/Amarii-Bell,399e9474,90,111,81.1,1614,667,47,53,88.7,35,38,92.1,8,18,44.4,0.0,0.0,0,12,2,0,https://fbref.com/en/players/399e9474/Amarii-Bell,399e9474,3,1.0,3,0,0,0,0,1,0.33,1,0,0,0,0,0,https://fbref.com/en/players/399e9474/Amarii-Bell,12,8,6,6,0,4,50.0,4,5,3,2,14,14,0,153,25,0,153,0,0.0,2,100.0,77,0,1,0,83,https://fbref.com/en/players/399e9474/Amarii-Bell
100,39,Anis Ben Slimane,TUN,"MF,DF",Sheffield Utd,22,2001,1,0,11,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,https://fbref.com/en/players/9ade9ce1/Anis-Ben-Slimane,9ade9ce1,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/9ade9ce1/Anis-Ben-Slimane,9ade9ce1,0,2,0.0,0,0,0,2,0.0,0,0,,0,0,,0.0,0.0,0,0,0,0,https://fbref.com/en/players/9ade9ce1/Anis-Ben-Slimane,9ade9ce1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/9ade9ce1/Anis-Ben-Slimane,0,0,0,0,0,0,0.0,1,0,0,1,1,0,0,6,0,2,6,0,0.0,1,100.0,4,0,0,0,3,https://fbref.com/en/players/9ade9ce1/Anis-Ben-Slimane
101,40,Saïd Benrahma,ALG,"FW,MF",West Ham,28,1995,4,3,280,3.1,0,1,1,0,0,0,0,0,0.4,0.4,0.8,1.2,15,14,37,0.0,0.32,0.32,0.0,0.32,0.12,0.26,0.38,0.12,0.38,Matches,https://fbref.com/en/players/5a04fd92/Said-Benrahma,5a04fd92,10,2,20.0,3.21,0.64,0.0,0.0,20.8,0,0.04,-0.4,-0.4,https://fbref.com/en/players/5a04fd92/Said-Benrahma,5a04fd92,84,112,75.0,1083,238,53,61,86.9,20,30,66.7,5,8,62.5,0.5,0.2,6,5,6,1,https://fbref.com/en/players/5a04fd92/Said-Benrahma,5a04fd92,13,4.16,11,0,2,0,0,1,0.32,1,0,0,0,0,0,https://fbref.com/en/players/5a04fd92/Said-Benrahma,4,1,1,3,0,2,20.0,8,3,3,1,5,1,0,158,2,16,158,7,36.8,10,52.6,101,7,9,3,110,https://fbref.com/en/players/5a04fd92/Said-Benrahma
102,41,Jóhann Berg Guðmundsson,ISL,"MF,DF",Burnley,32,1990,2,1,90,1.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,2,8,7,0.0,1.0,1.0,0.0,1.0,0.0,0.23,0.23,0.0,0.23,Matches,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson,f72293fc,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson,f72293fc,41,54,75.9,731,268,16,17,94.1,20,21,95.2,4,10,40.0,0.2,0.8,4,4,2,1,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson,f72293fc,5,5.0,3,2,0,0,0,1,1.0,1,0,0,0,0,0,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson,1,0,0,0,1,0,,0,0,0,2,3,2,0,65,2,2,65,1,33.3,1,33.3,40,1,4,0,42,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson
103,42,Sander Berge,NOR,MF,Burnley,25,1998,3,3,201,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,https://fbref.com/en/players/d0b6129f/Sander-Berge,d0b6129f,0,0,,0.0,0.0,,,,0,,0.0,0.0,https://fbref.com/en/players/d0b6129f/Sander-Berge,d0b6129f,68,77,88.3,1035,182,38,42,90.5,23,25,92.0,5,6,83.3,0.0,0.0,2,4,0,0,https://fbref.com/en/players/d0b6129f/Sander-Berge,d0b6129f,3,1.34,3,0,0,0,0,0,0.0,0,0,0,0,0,0,https://fbref.com/en/players/d0b6129f/Sander-Berge,3,2,1,2,0,2,40.0,3,4,2,0,3,1,0,95,9,2,95,1,33.3,2,66.7,55,1,3,3,67,https://fbref.com/en/players/d0b6129f/Sander-Berge
